# Last updated: August 2013 by M. Oiestad, MET
LIGHT (draugen)		15
2.00	10.0	10.0	10.0
1.00	22.1	874.2	50.0	103.9	618.5	15.4	65.5
2.00	24.6	878.2	68.7	130.5	2428.3	16.7	76.1
3.00	26.0	880.4	73.4	148.7	3944.8	17.4	82.3
6.00	28.4	884.1	75.4	185.2	5795.7	18.5	92.9
9.00	29.7	886.3	75.7	210.3	6760.6	19.2	99.2
12.00	30.7	887.8	75.9	229.8	7470.0	19.7	103.7
24.00	32.9	891.4	76.0	283.6	9319.0	20.8	114.5
48.00	35.1	894.9	76.0	347.9	11461.3	21.9	125.3
72.00	36.4	897.0	76.0	391.2	12891.7	22.6	131.6
96.00	37.3	898.4	76.0	425.8	14031.9	23.1	136.3
120.00	38.0	899.5	76.0	455.2	15000.2	23.4	139.9
480.00	43.4	908.2	76.0	752.8	24809.0	26.2	168.9
CAURUS		      15
2.0	10.0	10.0	10.0
0.00	0.0	795.0	0.0	10.8	10.8
0.25	20.0	818.9	10.3	39.4	61.2
0.50	23.5	822.7	18.8	53.0	108.0
1.00	27.3	826.7	29.4	72.4	193.0
2.00	31.3	831.0	37.4	101.6	318.5
3.00	33.6	833.6	39.0	123.9	400.5
6.00	37.4	837.6	39.1	170.0	550.3
9.00	39.4	839.8	39.1	202.2	654.5
12.00	40.8	841.3	39.1	227.7	736.8
24.00	44.1	844.8	39.1	298.5	966.1
48.00	47.0	848.0	39.1	384.1	1243.2
72.00	48.7	849.8	39.1	441.2	1428.0
96.00	49.8	851.0	39.1	486.2	1573.5
120.00	50.7	852.0	39.1	523.8	1695.2
480.00	57.1	858.8	39.1	895.5	2898.4
DRAUGEN		15
2.00	10.0	10.0	10.0
0.00	0.0	823.0	0.0	3.1	3.1	-33.0	0.0
0.25	23.8	868.3	7.6	59.4	67.9	-3.6	15.7
0.50	27.0	874.2	15.8	99.2	131.5	0.6	31.3
1.00	29.9	879.5	28.7	157.7	269.1	4.4	46.4
2.00	32.5	884.2	45.9	238.5	588.9	7.9	60.4
3.00	34.0	886.8	55.8	299.8	938.0	9.8	68.9
6.00	36.3	891.1	67.1	437.3	1826.1	13.0	82.4
9.00	37.7	893.6	69.4	542.6	2409.2	14.9	90.2
12.00	38.6	895.3	69.9	630.1	2832.9	16.2	95.7
24.00	40.8	899.3	70.0	895.8	4040.3	19.2	107.5
48.00	43.0	903.3	70.0	1265.7	5708.6	22.3	118.8
72.00	44.3	905.6	70.0	1551.1	6995.5	24.1	126.5
96.00	45.2	907.3	70.0	1801.3	8124.3	25.4	132.6
120.00	46.0	908.7	70.0	2030.5	9158.0	26.5	137.6
480.00	51.9	919.4	70.0	5206.8	23483.3	35.1	158.7
EDVARD GRIEG	15
2.00	10.0	10.0	10.0
0.00	0.0	850.0	0.0	17.5	17.5
0.25	14.9	875.2	2.2	60.3	67.0
0.50	18.1	880.4	7.6	79.5	116.3
1.00	21.0	885.2	19.3	102.4	274.4
2.00	23.8	889.7	37.6	130.1	952.9
3.00	25.3	892.2	49.9	149.0	2254.6
6.00	27.9	896.4	68.1	186.5	8888.9
9.00	29.4	898.9	74.3	212.0	15249.2
12.00	30.4	900.5	76.3	231.7	19065.3
24.00	32.8	904.4	76.8	285.0	24353.9
48.00	35.1	908.1	76.8	347.4	29681.9
72.00	36.4	910.2	76.8	388.2	33171.2
96.00	37.3	911.7	76.8	420.1	35891.7
120.00	38.0	912.8	76.8	446.5	38153.1
480.00	43.1	921.2	76.8	697.0	59553.7
EKOFISK		15
2.0	10.0	10.0	10.0
0.00	0.0	851.0	0.0	107.3	107.3	0.0	0.0
0.25	12.7	870.2	8.8	411.5	442.8	8.4	30.7
0.50	15.4	874.1	15.4	563.5	644.2	10.0	49.4
1.00	18.1	877.9	26.6	766.3	979.5	11.7	68.7
2.00	20.6	881.6	42.9	1030.8	1595.8	13.2	86.8
3.00	22.1	883.7	53.7	1219.6	2192.8	14.1	96.0
6.00	24.4	887.2	68.6	1608.0	3709.4	15.6	109.0
9.00	25.8	889.2	73.1	1885.1	4741.3	16.5	115.7
12.00	26.8	890.6	74.6	2107.8	5461.0	17.1	120.4
24.00	29.0	893.9	75.8	2750.1	7302.0	18.6	131.0
48.00	31.3	897.1	76.5	3574.6	9633.5	20.0	141.2
72.00	32.6	899.0	76.9	4152.1	11283.3	20.8	147.3
96.00	33.5	900.3	77.2	4617.3	12621.7	21.4	151.9
120.00	34.2	901.4	77.4	5011.8	13762.5	21.9	155.8
480.00	39.2	908.7	78.9	9005.4	25549.2	25.1	181.0
JOTUN ELLI VINTER	15
2.0	10.0	5.0	5.0
0.00	0.0	839.0	0.0	868.5	868.5	3.0	0.0
0.25	8.7	852.7	5.7	1630.7	1650.4	12.2	27.6
0.50	11.2	856.3	13.2	2043.0	2105.0	13.9	35.7
1.00	13.8	860.1	23.9	2591.8	2754.4	15.6	44.5
2.00	16.4	864.0	36.5	3305.9	3685.2	17.4	53.7
3.00	18.0	866.3	43.0	3807.5	4380.3	18.5	59.2
6.00	20.6	870.1	49.0	4837.9	5765.3	20.3	68.8
9.00	22.1	872.3	49.9	5547.5	6647.5	21.3	74.3
12.00	23.1	873.8	50.0	6112.9	7330.9	22.1	78.3
24.00	25.6	877.5	50.0	7705.3	9241.8	23.8	88.0
48.00	28.2	881.3	50.0	9725.5	11664.7	25.6	98.1
72.00	29.7	883.4	50.0	11144.9	13367.2	26.6	104.1
96.00	30.7	885.0	50.0	12260.2	14704.8	27.4	108.4
120.00	31.5	886.1	50.0	13196.9	15828.3	27.9	111.7
480.00	36.4	893.3	50.0	20667.8	24789.0	31.4	132.6
JOTUN ELLI SOMMER	15
2.0	10.0	13.0	13.0
0.00	0.0	839.0	0.0	93.0	93.0	3.0	0.0
0.25	10.4	855.3	3.6	441.9	445.1	13.4	33.3
0.50	13.1	859.2	11.8	621.1	637.5	15.2	42.2
1.00	15.9	863.2	28.3	882.7	949.8	17.1	51.8
2.00	18.6	867.2	46.5	1253.6	1453.4	18.9	61.6
3.00	20.2	869.6	53.1	1536.4	1847.8	20.0	67.4
6.00	22.9	873.5	57.6	2160.0	2675.3	21.9	77.4
9.00	24.4	875.8	58.7	2633.2	3284.8	23.0	83.4
12.00	25.5	877.4	59.1	3026.5	3787.7	23.7	87.6
24.00	28.2	881.2	59.7	4239.0	5328.6	25.6	98.1
48.00	30.8	885.1	59.9	5934.5	7471.2	27.4	108.8
72.00	32.4	887.3	60.0	7201.1	9068.4	28.5	115.1
96.00	33.4	888.9	60.0	8238.0	10375.3	29.3	119.6
120.00	34.2	890.1	60.0	9125.4	11493.4	29.8	123.0
480.00	39.9	898.4	60.0	18803.7	23684.6	33.9	148.1
EMBLA 2000		15
2.0	10.0	10.0	10.0
0.00	0.0	816.0	0.0	4.2	4.2	-24.0	0.0
0.25	16.6	834.6	0.0	70.4	70.3	0.4	0.0
0.50	19.9	838.2	0.1	113.3	113.2	3.7	0.0
1.00	23.0	841.5	0.3	177.3	176.4	6.8	0.0
2.00	25.9	844.7	1.0	269.1	264.7	9.8	0.0
3.00	27.5	846.4	1.9	340.0	329.6	11.5	0.0
6.00	30.2	849.3	4.4	499.2	465.8	14.3	0.0
9.00	31.7	851.0	6.5	622.7	564.3	15.9	0.0
12.00	32.8	852.1	8.4	727.2	643.7	17.1	0.0
24.00	35.3	854.9	14.1	1048.8	870.1	19.8	0.0
48.00	37.8	857.5	21.6	1490.3	1153.2	22.4	0.0
72.00	39.1	859.0	26.6	1813.1	1349.9	23.9	0.0
96.00	40.1	860.0	30.4	2081.4	1509.7	24.9	0.0
